pct,mag,index,bf_path,hoechst_path,wt1_path,sample_id
50,10x,2,CaMSC 50% 10x BF_2.tif,CaMSC 50% 10x Hoechst_2.tif,CaMSC 50% 10x WT1_2.tif,camsc_50pct_10x_2
50,10x,3,CaMSC 50% 10x BF_3.tif,CaMSC 50% 10x Hoechst_3.tif,CaMSC 50% 10x WT1_3.tif,camsc_50pct_10x_3
50,10x,4,CaMSC 50% 10x BF_4.tif,CaMSC 50% 10x Hoechst_4.tif,CaMSC 50% 10x WT1_4.tif,camsc_50pct_10x_4
50,10x,5,CaMSC 50% 10x BF_5.tif,CaMSC 50% 10x Hoechst_5.tif,CaMSC 50% 10x WT1_5.tif,camsc_50pct_10x_5
50,10x,6,CaMSC 50% 10x BF_6.tif,CaMSC 50% 10x Hoechst_6.tif,CaMSC 50% 10x WT1_6.tif,camsc_50pct_10x_6
50,10x,7,CaMSC 50% 10x BF_7.tif,CaMSC 50% 10x Hoechst_7.tif,CaMSC 50% 10x WT1_7.tif,camsc_50pct_10x_7
50,10x,8,CaMSC 50% 10x BF_8.tif,CaMSC 50% 10x Hoechst_8.tif,CaMSC 50% 10x WT1_8.tif,camsc_50pct_10x_8
50,10x,9,CaMSC 50% 10x BF_9.tif,CaMSC 50% 10x Hoechst_9.tif,CaMSC 50% 10x WT1_9.tif,camsc_50pct_10x_9
70,10x,1,CaMSC 70% 10x BF_1.tif,CaMSC 70% 10x Hoechst_1.tif,CaMSC 70% 10x WT1_1.tif,camsc_70pct_10x_1
70,10x,10,CaMSC 70% 10x BF_10.tif,CaMSC 70% 10x Hoechst_10.tif,CaMSC 70% 10x WT1_10.tif,camsc_70pct_10x_10
70,10x,2,CaMSC 70% 10x BF_2.tif,CaMSC 70% 10x Hoechst_2.tif,CaMSC 70% 10x WT1_2.tif,camsc_70pct_10x_2
70,10x,3,CaMSC 70% 10x BF_3.tif,CaMSC 70% 10x Hoechst_3.tif,CaMSC 70% 10x WT1_3.tif,camsc_70pct_10x_3
70,10x,4,CaMSC 70% 10x BF_4.tif,CaMSC 70% 10x Hoechst_4.tif,CaMSC 70% 10x WT1_4.tif,camsc_70pct_10x_4
70,10x,5,CaMSC 70% 10x BF_5.tif,CaMSC 70% 10x Hoechst_5.tif,CaMSC 70% 10x WT1_5.tif,camsc_70pct_10x_5
70,10x,6,CaMSC 70% 10x BF_6.tif,CaMSC 70% 10x Hoechst_6.tif,CaMSC 70% 10x WT1_6.tif,camsc_70pct_10x_6
70,10x,7,CaMSC 70% 10x BF_7.tif,CaMSC 70% 10x Hoechst_7.tif,CaMSC 70% 10x WT1_7.tif,camsc_70pct_10x_7
70,10x,8,CaMSC 70% 10x BF_8.tif,CaMSC 70% 10x Hoechst_8.tif,CaMSC 70% 10x WT1_8.tif,camsc_70pct_10x_8
70,10x,9,CaMSC 70% 10x BF_9.tif,CaMSC 70% 10x Hoechst_9.tif,CaMSC 70% 10x WT1_9.tif,camsc_70pct_10x_9
90,10x,1,CaMSC 90% 10x BF_1.tif,CaMSC 90% 10x Hoechst_1.tif,CaMSC 90% 10x WT1_1.tif,camsc_90pct_10x_1
90,10x,10,CaMSC 90% 10x BF_10.tif,CaMSC 90% 10x Hoechst_10.tif,CaMSC 90% 10x WT1_10.tif,camsc_90pct_10x_10
90,10x,2,CaMSC 90% 10x BF_2.tif,CaMSC 90% 10x Hoechst_2.tif,CaMSC 90% 10x WT1_2.tif,camsc_90pct_10x_2
90,10x,3,CaMSC 90% 10x BF_3.tif,CaMSC 90% 10x Hoechst_3.tif,CaMSC 90% 10x WT1_3.tif,camsc_90pct_10x_3
90,10x,4,CaMSC 90% 10x BF_4.tif,CaMSC 90% 10x Hoechst_4.tif,CaMSC 90% 10x WT1_4.tif,camsc_90pct_10x_4
90,10x,5,CaMSC 90% 10x BF_5.tif,CaMSC 90% 10x Hoechst_5.tif,CaMSC 90% 10x WT1_5.tif,camsc_90pct_10x_5
90,10x,6,CaMSC 90% 10x BF_6.tif,CaMSC 90% 10x Hoechst_6.tif,CaMSC 90% 10x WT1_6.tif,camsc_90pct_10x_6
90,10x,7,CaMSC 90% 10x BF_7.tif,CaMSC 90% 10x Hoechst_7.tif,CaMSC 90% 10x WT1_7.tif,camsc_90pct_10x_7
90,10x,8,CaMSC 90% 10x BF_8.tif,CaMSC 90% 10x Hoechst_8.tif,CaMSC 90% 10x WT1_8.tif,camsc_90pct_10x_8
90,10x,9,CaMSC 90% 10x BF_9.tif,CaMSC 90% 10x Hoechst_9.tif,CaMSC 90% 10x WT1_9.tif,camsc_90pct_10x_9
