pct_dir,field,index_out,BF,Hoechst,WT1,source
caMSC_70%,15,25,Capture00265.tif,Capture00266.tif,Capture00267.tif,rgb_key
caMSC_90%,1,11,Capture00176.tif,Capture00175.tif,Capture00174.tif,rgb_key (labels also present)
caMSC_90%,2,12,Capture00177.tif,Capture00179.tif,Capture00178.tif,rgb_key
caMSC_90%,3,13,Capture00182.tif,Capture00180.tif,Capture00181.tif,rgb_key
caMSC_90%,4,14,Capture00183.tif,Capture00185.tif,Capture00184.tif,rgb_key
caMSC_90%,5,15,Capture00188.tif,Capture00186.tif,Capture00187.tif,rgb_key
caMSC_90%,6,16,Capture00190.tif,Capture00191.tif,Capture00192.tif,manual_fix
caMSC_90%,7,17,Capture00196.tif,Capture00194.tif,Capture00195.tif,rgb_key
caMSC_90%,8,18,Capture00197.tif,Capture00198.tif,Capture00199.tif,rgb_key
caMSC_90%,9,19,Capture00202.tif,Capture00201.tif,Capture00200.tif,rgb_key
caMSC_90%,10,20,Capture00203.tif,Capture00205.tif,Capture00204.tif,rgb_key
caMSC_90%,11,21,Capture00208.tif,Capture00206.tif,Capture00207.tif,manual_fix
caMSC_90%,12,22,Capture00209.tif,Capture00210.tif,Capture00211.tif,rgb_key
caMSC_90%,13,23,Capture00214.tif,Capture00213.tif,Capture00212.tif,rgb_key
caMSC_90%,14,24,Capture00215.tif,Capture00216.tif,Capture00217.tif,rgb_key
caMSC_90%,15,25,Capture00220.tif,Capture00219.tif,Capture00218.tif,rgb_key
